Field=LibRef~String~LibRef~69|Field=Description~String~Description~44|Field=Designator~String~Designator~520|Field=Value~String~Value~66|Field=Dielectric~String~Dielectric~77|Field=DocumentNumber~String~DocumentNumber~80|Field=Model~String~Model~102|Field=Pitch~String~Pitch~20|Field=Quantity~Integer~Quantity~20|Field=Voltage~String~Voltage~20|Field=Working voltage~String~Working voltage~28|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~up_down_converter.PrjPcb|ReportField=ProjectFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb|ReportField=Title~BOM_PartType For Project [up_down_converter.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~802|ReportField=ReportTime~8:18:53 AM|ReportField=ReportDate~27/11/2018|ReportField=ReportDateTime~27/11/2018 8:18:53 AM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~19|ReportField=Time~|ReportField=Title~TOP|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~up_down_converter.PrjPcb|ReportField=DataSourceFullPath~C:\ownclowd\MySkyShared\Hardware_design\RF_front_end\up_down_converter.PrjPcb
minicircuits_CBP-1820F+|Mini-Circuits band pass filter 1680-1960 MHz|BPF1, BPF5|||3, 18|||2||
Capacitor|Capacitor|C28, C29, C32, C37, C43_U_subckt_LNA_HMC1049LP5E1, C43_U_subckt_LNA_HMC1049LP5E2, C43_U_subckt_LNA_HMC1049LP5E_1, C43_U_subckt_LNA_HMC1049LP5E_2, C44_U_subckt_LNA_HMC1049LP5E1, C44_U_subckt_LNA_HMC1049LP5E2, C44_U_subckt_LNA_HMC1049LP5E_1, C44_U_subckt_LNA_HMC1049LP5E_2, C45_U_subckt_LNA_HMC1049LP5E1, C45_U_subckt_LNA_HMC1049LP5E2, C45_U_subckt_LNA_HMC1049LP5E_1, C45_U_subckt_LNA_HMC1049LP5E_2, C48_U_subckt_LNA_HMC1049LP5E1, C48_U_subckt_LNA_HMC1049LP5E2, C48_U_subckt_LNA_HMC1049LP5E_1, C48_U_subckt_LNA_HMC1049LP5E_2, C49_U_subckt_LNA_HMC1049LP5E1, C49_U_subckt_LNA_HMC1049LP5E2, C49_U_subckt_LNA_HMC1049LP5E_1, C49_U_subckt_LNA_HMC1049LP5E_2, C53_U_subckt_RF1_filter_bank1, C53_U_subckt_RF1_filter_bank2, C54_U_subckt_RF1_filter_bank1, C54_U_subckt_RF1_filter_bank2, C55_U_subckt_RF1_filter_bank1, C55_U_subckt_RF1_filter_bank2, C56_U_subckt_RF1_filter_bank1, C56_U_subckt_RF1_filter_bank2, C57_U_subckt_RF1_filter_bank1, C57_U_subckt_RF1_filter_bank2, C58_U_subckt_RF1_filter_bank1, C58_U_subckt_RF1_filter_bank2, C59_U_subckt_RF1_filter_bank1, C59_U_subckt_RF1_filter_bank2, C60_U_subckt_RF1_filter_bank1, C60_U_subckt_RF1_filter_bank2, C61, C62, C63, C64, C81, C83, C85, C90, C179, C181, C188, C194, C197, C198, C209, C210, C211, C212|100pF||4, 4, 4, 4, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 15, 15, 15, 5, 5, 5, 5, 17, 17, 16, 16, 16, 16, 16, 16, 19, 19|||58||
Capacitor|Capacitor|C41_U_subckt_LNA_HMC1049LP5E1, C41_U_subckt_LNA_HMC1049LP5E2, C41_U_subckt_LNA_HMC1049LP5E_1, C41_U_subckt_LNA_HMC1049LP5E_2, C46_U_subckt_LNA_HMC1049LP5E1, C46_U_subckt_LNA_HMC1049LP5E2, C46_U_subckt_LNA_HMC1049LP5E_1, C46_U_subckt_LNA_HMC1049LP5E_2|4.7uF||13|||8||
Capacitor|Capacitor|C42_U_subckt_LNA_HMC1049LP5E1, C42_U_subckt_LNA_HMC1049LP5E2, C42_U_subckt_LNA_HMC1049LP5E_1, C42_U_subckt_LNA_HMC1049LP5E_2, C47_U_subckt_LNA_HMC1049LP5E1, C47_U_subckt_LNA_HMC1049LP5E2, C47_U_subckt_LNA_HMC1049LP5E_1, C47_U_subckt_LNA_HMC1049LP5E_2, C96|10nF||13, 13, 13, 13, 13, 13, 13, 13, 2|||9||
Capacitor|Capacitor|C50_U_subckt_LNA_HMC1049LP5E1, C50_U_subckt_LNA_HMC1049LP5E2, C50_U_subckt_LNA_HMC1049LP5E_1, C50_U_subckt_LNA_HMC1049LP5E_2, C52_U_subckt_LNA_HMC1049LP5E1, C52_U_subckt_LNA_HMC1049LP5E2, C52_U_subckt_LNA_HMC1049LP5E_1, C52_U_subckt_LNA_HMC1049LP5E_2, C?_LNA_HMC8410_1, C?_LNA_HMC8410_1, C?_LNA_HMC8410_1, C?_LNA_HMC8410_2, C?_LNA_HMC8410_2, C?_LNA_HMC8410_2, C?_LNA_HMC84101, C?_LNA_HMC84101, C?_LNA_HMC84101, C?_LNA_HMC84102, C?_LNA_HMC84102, C?_LNA_HMC84102, C?_LNA_HMC84103, C?_LNA_HMC84103, C?_LNA_HMC84103|100nF|X7R|13, 13, 13, 13, 13, 13, 13, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12|||23||
Capacitor|Capacitor|C51_U_subckt_LNA_HMC1049LP5E1, C51_U_subckt_LNA_HMC1049LP5E2, C51_U_subckt_LNA_HMC1049LP5E_1, C51_U_subckt_LNA_HMC1049LP5E_2, C?_LNA_HMC8410_1, C?_LNA_HMC8410_1, C?_LNA_HMC8410_2, C?_LNA_HMC8410_2, C?_LNA_HMC84101, C?_LNA_HMC84101, C?_LNA_HMC84102, C?_LNA_HMC84102, C?_LNA_HMC84103, C?_LNA_HMC84103|10nF|X7R|13, 13, 13, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12|||14||
Capacitor|Capacitor|C66, C69, C84|10nF|Y5V|5|||3||
Capacitor|Capacitor|C91|10nF|X5R|2|||1||
Capacitor|Capacitor|C92|10uF||2|||1||
Capacitor|Capacitor|C93|1nF||2|||1||
Capacitor|Capacitor|C94|100nF||2|||1||
Capacitor|Capacitor|C95|47uF|Y5V|2|||1||
Capacitor|Capacitor|C99, C110_U_subckt_3V3_SMPS1, C110_U_subckt_3V3_SMPS2, C110_U_subckt_3V3_SMPS3, C110_U_subckt_3V3_SMPS4, C135, C138, C139|10uF|X5R|2, 6, 6, 6, 6, 8, 7, 7|||8||
Capacitor|Capacitor|C100|1nF|X5R|2|||1||
Capacitor|Capacitor|C104_U_subckt_3V3_SMPS1, C104_U_subckt_3V3_SMPS2, C104_U_subckt_3V3_SMPS3, C104_U_subckt_3V3_SMPS4, C130|0.68uF|X5R|6, 6, 6, 6, 8|||5||
Capacitor|Capacitor|C105_U_subckt_3V3_SMPS1, C105_U_subckt_3V3_SMPS2, C105_U_subckt_3V3_SMPS3, C105_U_subckt_3V3_SMPS4|100pF|NP0|6|||4||
Capacitor|Capacitor|C106_U_subckt_3V3_SMPS1, C106_U_subckt_3V3_SMPS2, C106_U_subckt_3V3_SMPS3, C106_U_subckt_3V3_SMPS4, C107_U_subckt_3V3_SMPS1, C107_U_subckt_3V3_SMPS2, C107_U_subckt_3V3_SMPS3, C107_U_subckt_3V3_SMPS4, C108_U_subckt_3V3_SMPS1, C108_U_subckt_3V3_SMPS2, C108_U_subckt_3V3_SMPS3, C108_U_subckt_3V3_SMPS4, C132, C133|33uF|X5R|6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 8, 8|||14||
Capacitor|Capacitor|C109_U_subckt_3V3_SMPS1, C109_U_subckt_3V3_SMPS2, C109_U_subckt_3V3_SMPS3, C109_U_subckt_3V3_SMPS4, C134|2.2uF|X5R|6, 6, 6, 6, 8|||5||
